cell_type,gene_id
Epidermis,Solyc06g076010
Epidermis,Solyc06g076250
Epidermis,Solyc06g076260
Epidermis,Solyc06g076400
Epidermis,Solyc06g076450
Epidermis,Solyc06g076665
Epidermis,Solyc06g076960
Epidermis,Solyc06g082140
Epidermis,Solyc06g082220
Epidermis,Solyc06g082230
Epidermis,Solyc06g082320
Epidermis,Solyc06g082450
Epidermis,Solyc06g082470
Epidermis,Solyc06g082730
Epidermis,Solyc06g082800
Epidermis,Solyc06g082895
Epidermis,Solyc06g082900
Epidermis,Solyc06g083000
Epidermis,Solyc06g083340
Epidermis,Solyc06g083500
Epidermis,Solyc06g083933
Epidermis,Solyc06g084430
Epidermis,Solyc06g084540
Epidermis,Solyc07g005050
Epidermis,Solyc07g005110
Epidermis,Solyc07g005140
Epidermis,Solyc07g005215
Epidermis,Solyc07g005230
Epidermis,Solyc07g005420
Epidermis,Solyc07g006045
Epidermis,Solyc07g006060
Epidermis,Solyc07g006570
Epidermis,Solyc07g007290
Epidermis,Solyc07g007760
Epidermis,Solyc07g007840
Epidermis,Solyc07g008475
Epidermis,Solyc07g008480
Epidermis,Solyc07g008890
Epidermis,Solyc07g009230
Epidermis,Solyc07g009333
Epidermis,Solyc07g009500
Epidermis,Solyc07g017520
Epidermis,Solyc07g017870
Epidermis,Solyc07g017880
Epidermis,Solyc07g018390
Epidermis,Solyc07g022830
Epidermis,Solyc07g025200
Epidermis,Solyc07g026620
Epidermis,Solyc07g032170
Epidermis,Solyc07g032180
Epidermis,Solyc07g032220
Epidermis,Solyc07g039270
Epidermis,Solyc07g039287
Epidermis,Solyc07g040960
Epidermis,Solyc07g041330
Epidermis,Solyc07g041735
Epidermis,Solyc07g042020
Epidermis,Solyc07g042750
Epidermis,Solyc07g043170
Epidermis,Solyc07g043610
Epidermis,Solyc07g043690
Epidermis,Solyc07g043700
Epidermis,Solyc07g044750
Epidermis,Solyc07g044790
Epidermis,Solyc07g045380
Epidermis,Solyc07g047820
Epidermis,Solyc07g052560
Epidermis,Solyc07g052730
Epidermis,Solyc07g052950
Epidermis,Solyc07g053180
Epidermis,Solyc07g053250
Epidermis,Solyc07g055020
